ORIGINAL,uri
Affiliated Summer Schools for Women Workers in Industry.,/agents/corporate_entities/9172
Midwest Interstate Low-Level Radioactive Waste Commission (U.S.),/agents/corporate_entities/9173
"St. John's Episcopal Church (Ionia, Mich.)",/agents/corporate_entities/9174
Michigan State University.,/agents/corporate_entities/9175
"Lutheran Church (Olivet, Mich.)",/agents/corporate_entities/9176
"United States. Army. Infantry, 339th. Company I.",/agents/corporate_entities/9177
Michigan Womyn's Music Festival.,/agents/corporate_entities/9178
"United States. Army. Indiana Infantry Regiment, 132nd (1864)",/agents/corporate_entities/9179
"Toledo, Ann Arbor and North Michigan Railway Company.",/agents/corporate_entities/9180
University of Michigan. Office of Student Conflict Resolution.,/agents/corporate_entities/9181
"United States. Army. Missouri Infantry Regiment (U.S. Reserve Corps), 2nd (1861)",/agents/corporate_entities/9182
University of Michigan. Center for Catalysis and Surface Science.,/agents/corporate_entities/9183
Charles Wood Associates.,/agents/corporate_entities/9184
Phi Kappa Psi. Michigan Alpha Chapter (University of Michigan),/agents/corporate_entities/9185
"First Reformed Church (Grandville, Mich.)",/agents/corporate_entities/9186
"Messiah Church (Linden, Mich.)",/agents/corporate_entities/9187
"University of Michigan. Dept. of Literature, Science, and the Arts.",/agents/corporate_entities/9188
University of Michigan. Office of Undergraduate Admissions.,/agents/corporate_entities/9189
"Civic Center (Detroit, Mich.)",/agents/corporate_entities/9190
Hovey & McCracken.,/agents/corporate_entities/9191
"Pontiac, Oxford and Northern Railroad Company.",/agents/corporate_entities/9192
Ann Arbor Tomorrow Council.,/agents/corporate_entities/9193
"United States. Congress. Senate. Committee on Banking, Housing, and Urban Affairs.",/agents/corporate_entities/9194
Chalmers-Detroit Motor Company.,/agents/corporate_entities/9195
"Trinity Lutheran Church (Brown City, Mich.)",/agents/corporate_entities/9196
Residents Against Packard Platt Plaza.,/agents/corporate_entities/9197
Washtenaw County Community Mental Health Center. Substance Abuse Coordinating Agency.,/agents/corporate_entities/9198
Michigan Roundtable for Diversity and Inclusion.,/agents/corporate_entities/9199
"Messiah Lutheran Church (Detroit, Mich.)",/agents/corporate_entities/9200
Michigan Schoolmasters' Club.,/agents/corporate_entities/9201
Detroit Institute of Arts.,/agents/corporate_entities/9202
Ann Arbor Thrift Shop Association (Michigan).,/agents/corporate_entities/9203
Women of the University Faculty (University of Michigan),/agents/corporate_entities/9204
Citizens Advisory Council of the Washtenaw County Juvenile Court.,/agents/corporate_entities/9205
New York (N.Y.). Dept. of Investigation.,/agents/corporate_entities/9206
Detroit Japanese American Citizens League.,/agents/corporate_entities/9207
Phi Sigma Society. Beta Chapter (University of Michigan),/agents/corporate_entities/9208
University of Michigan. Committee on Diploma Schools.,/agents/corporate_entities/9209
Greater Lansing Urban League.,/agents/corporate_entities/9210
University of Michigan. Dept. of Engineering. Class of 1913.,/agents/corporate_entities/9211
Hupp Motor Car Company,/agents/corporate_entities/9212
Peacock (Ship),/agents/corporate_entities/9213
"United States. Army. Michigan Infantry Regiment, 14th (1862-1865)",/agents/corporate_entities/9214
"First Methodist Church (Grand Rapids, Mich.)",/agents/corporate_entities/9215
"Republican National Convention (22nd : 1940 : Philadelphia, Pa.)",/agents/corporate_entities/9216
Clinton Machine Company.,/agents/corporate_entities/9217
"Moore, Park & Sharp.",/agents/corporate_entities/9218
College Democrats (University of Michigan),/agents/corporate_entities/9219
Michigan Central Railroad Company.,/agents/corporate_entities/9220
Kerner Plus 10 Conference (1977: University of Michigan),/agents/corporate_entities/9221
University of Michigan. A. Alfred Taubman College of Architecture + Urban Planning.,/agents/corporate_entities/9222
Ishango Society of Mathematics (University of Michigan),/agents/corporate_entities/9223
Phillips Academy.,/agents/corporate_entities/9224
Michigan. Legislature. Senate.,/agents/corporate_entities/9225
YMCA of Metropolitan Detroit. Metropolitan Offices.,/agents/corporate_entities/9226
Ann Arbor Center for Independent Living.,/agents/corporate_entities/9227
"Saginaw High School (Saginaw, Mich.)",/agents/corporate_entities/9228
"Drug Helpline (Ann Arbor, Mich.)",/agents/corporate_entities/9229
American Anti-Boycott Association.,/agents/corporate_entities/9230
Eastern Michigan Nature Association.,/agents/corporate_entities/9231
"Detroit Union Railroad, Depot & Station Company.",/agents/corporate_entities/9232
Delta Sigma Delta. Alpha Chapter (University of Michigan),/agents/corporate_entities/9233
Delta Tau Delta Fraternity. University of Michigan Chapter.,/agents/corporate_entities/9234
University of Michigan. Center for Information Technology Integration.,/agents/corporate_entities/9235
Ross School of Business Building (University of Michigan),/agents/corporate_entities/9236
"Christ Church (Stockbridge, Mich.)",/agents/corporate_entities/9237
Trans-Love Energies Unlimited.,/agents/corporate_entities/9238
Paige-Detroit Motor Car Company,/agents/corporate_entities/9239
"Friends Meetinghouse (Ann Arbor, Mich.)",/agents/corporate_entities/9240
"University of Michigan. Student Activities and Leadership Office, 1959-2008",/agents/corporate_entities/9241
Michigan College Association.,/agents/corporate_entities/9242
"First Presbyterian Church (Saline, Mich.)",/agents/corporate_entities/9243
Williams Professorship Fund (University of Michigan),/agents/corporate_entities/9244
Disciples of Christ,/agents/corporate_entities/9245
University of Michigan. Architecture and Planning Research Laboratory.,/agents/corporate_entities/9246
American Genetic Association.,/agents/corporate_entities/9247
"Ellington Grange, No. 1650 (Tuscola County, Mich.)",/agents/corporate_entities/9248
Michigan Tax Information Council.,/agents/corporate_entities/9249
Free Homestead Association of Central New York.,/agents/corporate_entities/9250
National Commission against Drunk Driving (U.S.),/agents/corporate_entities/9251
