ORIGINAL,uri
"Coors, D. Stanley, 1889-",/agents/people/9504
"Crane, Verner Winslow, 1889-",/agents/people/9505
"Dickinson, Z. Clark (Zenas Clark), 1889-",/agents/people/9506
"Drury, Newton B., 1889-",/agents/people/9507
"Gorman, Galbraith, b. 1889.",/agents/people/9508
"Hutchins, Henry Clinton, b. 1889.",/agents/people/9509
"Kanouse, Bessie Bernice, 1889-",/agents/people/9510
"Kemble, Edwin C. (Edwin Crawford), 1889-",/agents/people/9511
"Klopsteg, Paul E. (Paul Ernest), 1889-",/agents/people/9512
"Mitchell, Elmer Dayton, 1889-",/agents/people/9513
"Munsterberg, Margarete Anna Adelheid, 1889-",/agents/people/9514
"Osias, Camilo, 1889-",/agents/people/9515
"Paton, William Andrew, 1889-.",/agents/people/9516
"Perkins, Dexter, 1889-",/agents/people/9517
"Reece, Carroll, 1889-",/agents/people/9518
"Shaw, Mark Revell, 1889-",/agents/people/9519
"Vaughan, Henry Frieze, 1889-",/agents/people/9520
"Wahr, Frederick B. (Frederick Burkhart), b.1889.",/agents/people/9521
"Zhang, Fuliang, b. 1889.",/agents/people/9522
"Zoller, John, 1889-",/agents/people/9523
"Armstrong, Elsa F. (Elsa Felland), 1890-",/agents/people/9524
"Billeau, Ewald H., 1890-",/agents/people/9525
"Burke, Edward Raymond, 1890-",/agents/people/9526
"Campbell, Harvey J., 1890-",/agents/people/9527
"Conover, Milton, 1890-",/agents/people/9528
"Dundon, Walter F., 1890-",/agents/people/9529
"Eckert, Otto E., 1890-",/agents/people/9530
"Eggleston, Arthur Francis, 1890-",/agents/people/9531
"Halsey, Elizabeth, b. 1890.",/agents/people/9532
"Humphrey, George M. (George Magoffin), b. 1890.",/agents/people/9533
"Hutchins, Evert O. (Evert Olney), 1890-",/agents/people/9534
"Ivey, Paul Wesley, 1890-",/agents/people/9535
"McAllister, Samuel Wilson, 1890-",/agents/people/9536
"Stevenson, Russell Alger, 1890-",/agents/people/9537
"Stewart, R. R. (Ralph Randles), 1890-",/agents/people/9538
"Sweet, Gertrude, 1890-",/agents/people/9539
"Taylor, Hugh Scott, 1890-",/agents/people/9540
"Ten Hoor, Marten, 1890-",/agents/people/9541
"Albers, George, 1891-",/agents/people/9542
"Alexander, John, 1891-",/agents/people/9543
"Bielenberg, Irma C. (Irma Christina), 1891-",/agents/people/9544
"Boston, Orlan W. (Orlan William), 1891-",/agents/people/9545
"Detzer, Karl, 1891-",/agents/people/9546
"Gabrielson, Guy George, 1891-",/agents/people/9547
"Liddicoat, Richard T. (Richard Thomas), b. 1891.",/agents/people/9548
"Peterson, Enoch Ernest, 1891-",/agents/people/9549
"Reed, Marshall Russell, 1891-",/agents/people/9550
"Rohan, Arthur E., 1891-",/agents/people/9551
"Schmidt, Jay Handler, 1891-",/agents/people/9552
"Slocum, William W., 1891-",/agents/people/9553
"Watson, Russell, 1891-",/agents/people/9554
"Wendt, Gerald, 1891-",/agents/people/9555
"Whitehouse, William Whitcomb, 1891-",/agents/people/9556
"Bain, Read, 1892-",/agents/people/9557
"Blanshard, Paul, 1892-",/agents/people/9558
"Clardy, Kit Francis, 1892-",/agents/people/9559
"Deyo, Harry N., 1892-",/agents/people/9560
"Dunham, Franklin, 1892-",/agents/people/9561
"Gault, Harry G., 1892-",/agents/people/9562
"Graham, Chester A. (Chester Arthur), 1892-",/agents/people/9563
"Hamilton, John Daniel Miller, 1892-",/agents/people/9564
"Hoffmaster, Percy James, 1892-",/agents/people/9565
"Hoobler, Icie Gertrude Macy, 1892-",/agents/people/9566
"Hurja, Emil, 1892-",/agents/people/9567
"Leslie, Eugene H. (Eugene Hendricks), b. 1892.",/agents/people/9568
"Long, John Cuthbert, 1892-",/agents/people/9569
"Niemðoller, Martin, 1892-",/agents/people/9570
"Niemöller, Martin, 1892-",/agents/people/9571
"Saxe, Karl, 1892-",/agents/people/9572
"Slossen, Preston William, 1892-",/agents/people/9573
"Slosson, Preston W. (Preston William), 1892-",/agents/people/9574
"Stearns, Robert Lawrence, 1892-",/agents/people/9575
"Stevens, Kenneth Molyneaux, 1892-",/agents/people/9576
"Thomson, James Francis, 1892-",/agents/people/9577
